location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
France,2021-05-03,5717160,3767,21725.714,105291,311,268,84618.121,55.754,321.556,1558.383,4.603,3.967,0.82,473404,NA,NA,7.007,304835,4.512,people tested,23072754,16363712,6775750,454184,407193,34.15,24.22,10.03,6027,63.89,67564251,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,NA
Canada,2021-05-29,1384373,2266,2979.143,25451,27,38.714,36679.753,60.039,78.934,674.339,0.715,1.026,0.69,100197,34650354,918.081,2.655,81034,2.147,tests performed,23157029,21207890,1949139,346320,348417,61.36,56.19,5.16,9232,73.61,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.929,NA
Mexico,2021-05-16,2381923,1233,2304.429,220437,53,207.429,18474.15,9.563,17.873,1709.705,0.411,1.609,0.96,3977,6490238,50.338,0.031,12149,0.094,people tested,23168462,15454195,10604476,NA,266864,17.97,11.99,8.22,2070,44.44,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA
Poland,2021-06-09,2876289,560,394.571,74363,108,54.143,75998.6,14.797,10.426,1964.853,2.854,1.431,0.53,109848,16097102,425.325,2.902,55122,1.456,people tested,23240142,15048382,8930085,503054,295085,61.41,39.76,23.6,7797,53.7,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.88,NA
Indonesia,2021-05-18,1748230,4185,3519.143,48477,172,144.571,6391.514,15.3,12.866,177.231,0.629,0.529,1.02,43504,10489670,38.35,0.159,29564,0.108,people tested,23262139,13985952,9276187,340072,103690,8.5,5.11,3.39,379,68.98,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,NA
Russia,2021-05-14,4866641,9338,8358.286,113182,387,349.571,33348.128,63.988,57.274,775.567,2.652,2.395,1.02,361657,133136581,912.304,2.478,280003,1.919,tests performed,23292045,13856566,9435479,509114,285043,15.96,9.5,6.47,1953,36.57,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,NA
Turkey,2021-05-03,4900121,24733,33262.857,41191,347,354.286,58100.251,293.257,394.394,488.398,4.114,4.201,0.68,243648,47987986,568.989,2.889,262119,3.108,tests performed,23294477,13933868,9360609,287743,271385,27.62,16.52,11.1,3218,87.04,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82,NA
Mexico,2021-05-17,2382745,822,2321.286,220493,56,200.571,18480.525,6.375,18.004,1710.14,0.434,1.556,0.96,16552,6506790,50.467,0.128,13215,0.102,people tested,23301884,15544106,10652500,133422,265292,18.07,12.06,8.26,2058,44.44,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,NA
United Kingdom,2021-03-06,4225906,6118,6162,124654,159,245,62250.033,90.122,90.77,1836.225,2.342,3.609,0.75,452750,92427640,1361.512,6.669,782445,11.526,tests performed,23335514,22213112,1122402,448396,349976,34.37,32.72,1.65,5155,86.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,NA
Italy,2021-05-07,4092747,10549,10013.429,122470,207,237.571,67691.42,174.474,165.616,2025.576,3.424,3.929,0.83,328612,60532582,1001.17,5.435,278976,4.614,tests performed,23368009,16407413,7118585,543629,458395,38.65,27.14,11.77,7582,77.78,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892,NA
Canada,2021-05-30,1386358,1985,2840.429,25473,22,38.143,36732.347,52.594,75.259,674.922,0.583,1.011,0.68,66999,34717353,919.856,1.775,80067,2.121,tests performed,23472216,21458697,2013519,315187,349373,62.19,56.86,5.33,9257,73.61,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.929,NA
Spain,2021-05-19,3625928,6080,4739.571,79568,66,51.429,77552.023,130.04,101.371,1701.815,1.412,1.1,0.91,NA,NA,NA,NA,108885,2.329,tests performed,23503085,16049843,7697288,529130,347306,50.27,34.33,16.46,7428,61.57,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.904,NA
United Kingdom,2021-03-07,4231166,5260,6048.429,124736,82,236.143,62327.516,77.483,89.097,1837.433,1.208,3.479,0.77,805744,93252192,1373.659,11.869,822186,12.111,tests performed,23519898,22377255,1142643,184384,346947,34.65,32.96,1.68,5111,86.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,3.45
United States,2021-01-26,25505353,147626,167019.571,433188,4009,3381,77054.831,445.996,504.587,1308.715,12.112,10.214,0.85,1771961,300762908,908.642,5.353,1658835,5.012,tests performed,23540994,19902237,3481921,806751,1119058,7.04,5.95,1.04,3346,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA
